ID,T (generations),α (fertility),N (founders),B (blocks),d (deterministic),Grader threshold,Algorithm,N1,B1,N2,B2,N3,B3,N4,B4
2701,5,8,20,2000,1,0.5,0.001,99,99,85,78,45,40,0,0
2701,5,8,20,2000,1,0.5,0.01,99,99,85,78,42,38,0,0
2701,5,8,20,2000,1,0.5,P,99,99,85,78,30,26,0,0
2701,5,8,20,2000,1,0.5,R,99,99,85,72,20,9,0,0
2701,5,8,20,2000,1,0.75,0.001,99,99,58,55,0,0,0,0
2701,5,8,20,2000,1,0.75,0.01,99,99,58,55,0,0,0,0
2701,5,8,20,2000,1,0.75,P,99,99,58,55,0,0,0,0
2701,5,8,20,2000,1,0.75,R,99,99,60,52,2,1,0,0
2701,5,8,20,2000,1,1,0.001,98,98,33,32,0,0,0,0
2701,5,8,20,2000,1,1,0.01,98,98,33,32,0,0,0,0
2701,5,8,20,2000,1,1,P,98,98,33,32,0,0,0,0
2701,5,8,20,2000,1,1,R,98,98,29,26,0,0,0,0
2702,5,8,20,2000,1,0.5,0.001,99,98,78,71,22,20,0,0
2702,5,8,20,2000,1,0.5,0.01,99,98,78,71,17,16,0,0
2702,5,8,20,2000,1,0.5,P,99,98,81,73,30,26,0,0
2702,5,8,20,2000,1,0.5,R,99,98,78,65,12,6,0,0
2702,5,8,20,2000,1,0.75,0.001,99,98,42,40,0,0,0,0
2702,5,8,20,2000,1,0.75,0.01,99,98,42,40,0,0,0,0
2702,5,8,20,2000,1,0.75,P,99,98,42,39,0,0,0,0
2702,5,8,20,2000,1,0.75,R,99,98,42,37,0,0,0,0
2702,5,8,20,2000,1,1,0.001,98,98,20,19,0,0,0,0
2702,5,8,20,2000,1,1,0.01,98,98,20,19,0,0,0,0
2702,5,8,20,2000,1,1,P,98,98,18,17,0,0,0,0
2702,5,8,20,2000,1,1,R,98,98,20,18,0,0,0,0
2703,5,8,20,2000,1,0.5,0.001,100,99,85,78,35,31,0,0
2703,5,8,20,2000,1,0.5,0.01,100,99,85,78,32,29,0,0
2703,5,8,20,2000,1,0.5,P,100,99,85,78,35,31,0,0
2703,5,8,20,2000,1,0.5,R,100,99,87,74,20,9,0,0
2703,5,8,20,2000,1,0.75,0.001,100,99,55,52,0,0,0,0
2703,5,8,20,2000,1,0.75,0.01,100,99,55,52,0,0,0,0
2703,5,8,20,2000,1,0.75,P,100,99,54,51,2,2,0,0
2703,5,8,20,2000,1,0.75,R,100,99,55,48,0,0,0,0
2703,5,8,20,2000,1,1,0.001,99,99,28,27,0,0,0,0
2703,5,8,20,2000,1,1,0.01,99,99,28,27,0,0,0,0
2703,5,8,20,2000,1,1,P,99,99,26,25,0,0,0,0
2703,5,8,20,2000,1,1,R,99,99,30,27,0,0,0,0
2704,5,8,20,2000,1,0.5,0.001,99,98,85,79,32,29,0,0
2704,5,8,20,2000,1,0.5,0.01,99,98,85,79,52,46,0,0
2704,5,8,20,2000,1,0.5,P,99,98,85,78,40,34,0,0
2704,5,8,20,2000,1,0.5,R,99,98,80,69,22,11,0,0
2704,5,8,20,2000,1,0.75,0.001,99,98,56,54,2,2,0,0
2704,5,8,20,2000,1,0.75,0.01,99,98,56,54,2,2,0,0
2704,5,8,20,2000,1,0.75,P,99,98,56,54,2,2,0,0
2704,5,8,20,2000,1,0.75,R,99,98,56,49,0,0,0,0
2704,5,8,20,2000,1,1,0.001,97,96,30,28,0,0,0,0
2704,5,8,20,2000,1,1,0.01,97,96,30,28,0,0,0,0
2704,5,8,20,2000,1,1,P,97,96,30,28,0,0,0,0
2704,5,8,20,2000,1,1,R,97,96,33,30,0,0,0,0
2705,5,8,20,2000,1,0.5,0.001,99,99,81,75,30,27,0,0
2705,5,8,20,2000,1,0.5,0.01,99,99,81,75,37,34,0,0
2705,5,8,20,2000,1,0.5,P,99,99,81,74,35,30,0,0
2705,5,8,20,2000,1,0.5,R,99,99,84,72,25,13,0,0
2705,5,8,20,2000,1,0.75,0.001,98,98,51,49,0,0,0,0
2705,5,8,20,2000,1,0.75,0.01,98,98,51,49,2,2,0,0
2705,5,8,20,2000,1,0.75,P,98,98,51,48,5,4,0,0
2705,5,8,20,2000,1,0.75,R,98,98,56,50,2,1,0,0
2705,5,8,20,2000,1,1,0.001,96,96,31,30,0,0,0,0
2705,5,8,20,2000,1,1,0.01,96,96,31,30,0,0,0,0
2705,5,8,20,2000,1,1,P,96,96,31,30,2,2,0,0
2705,5,8,20,2000,1,1,R,96,96,31,29,0,0,0,0
2706,5,8,20,2000,1,0.5,0.001,99,98,76,69,12,11,0,0
2706,5,8,20,2000,1,0.5,0.01,99,98,76,69,15,13,0,0
2706,5,8,20,2000,1,0.5,P,99,98,76,69,22,19,0,0
2706,5,8,20,2000,1,0.5,R,99,98,78,66,12,6,0,0
2706,5,8,20,2000,1,0.75,0.001,98,98,39,37,0,0,0,0
2706,5,8,20,2000,1,0.75,0.01,98,98,39,37,0,0,0,0
2706,5,8,20,2000,1,0.75,P,98,98,39,37,2,2,0,0
2706,5,8,20,2000,1,0.75,R,98,98,43,37,0,0,0,0
2706,5,8,20,2000,1,1,0.001,97,96,19,18,0,0,0,0
2706,5,8,20,2000,1,1,0.01,97,96,19,18,0,0,0,0
