ID,T (generations),α (fertility),N (founders),B (blocks),d (deterministic),Grader threshold,N1,B1,N2,B2,N3,B3,N4,B4
1351,4,4,20,1000,1,0.5,100,91,95,63,10,4,,
1351,4,4,20,1000,1,0.75,100,91,55,38,0,0,,
1351,4,4,20,1000,1,1,100,91,55,38,0,0,,
1351,4,4,20,5000,1,0.5,100,91,90,60,20,9,,
1351,4,4,20,5000,1,0.75,100,91,50,35,0,0,,
1351,4,4,20,5000,1,1,100,91,50,35,0,0,,
1351,4,4,20,15000,1,0.5,100,91,90,57,30,14,,
1351,4,4,20,15000,1,0.75,100,91,30,21,0,0,,
1351,4,4,20,15000,1,1,100,91,30,21,0,0,,
1352,4,4,20,1000,1,0.5,100,90,90,58,10,4,,
1352,4,4,20,1000,1,0.75,97,88,50,34,0,0,,
1352,4,4,20,1000,1,1,95,86,50,34,0,0,,
1352,4,4,20,5000,1,0.5,100,90,80,49,20,10,,
1352,4,4,20,5000,1,0.75,97,88,30,20,0,0,,
1352,4,4,20,5000,1,1,95,86,25,17,0,0,,
1352,4,4,20,15000,1,0.5,100,90,80,53,30,13,,
1352,4,4,20,15000,1,0.75,100,90,50,34,0,0,,
1352,4,4,20,15000,1,1,100,90,45,31,0,0,,
1353,4,4,20,1000,1,0.5,100,91,85,55,20,8,,
1353,4,4,20,1000,1,0.75,97,89,40,27,0,0,,
1353,4,4,20,1000,1,1,97,89,35,24,0,0,,
1353,4,4,20,5000,1,0.5,100,91,90,58,20,9,,
1353,4,4,20,5000,1,0.75,100,91,50,34,0,0,,
1353,4,4,20,5000,1,1,100,91,45,31,0,0,,
1353,4,4,20,15000,1,0.5,100,91,75,49,10,4,,
1353,4,4,20,15000,1,0.75,100,91,45,30,0,0,,
1353,4,4,20,15000,1,1,100,91,40,27,0,0,,
1354,4,4,20,1000,1,0.5,100,91,85,54,30,13,,
1354,4,4,20,1000,1,0.75,100,91,55,36,0,0,,
1354,4,4,20,1000,1,1,100,91,55,36,0,0,,
1354,4,4,20,5000,1,0.5,100,91,70,43,10,4,,
1354,4,4,20,5000,1,0.75,97,89,35,22,0,0,,
1354,4,4,20,5000,1,1,95,87,35,22,0,0,,
1354,4,4,20,15000,1,0.5,100,91,75,46,20,9,,
1354,4,4,20,15000,1,0.75,97,89,20,12,0,0,,
1354,4,4,20,15000,1,1,95,87,20,12,0,0,,
1355,4,4,20,1000,1,0.5,100,91,90,55,0,0,,
1355,4,4,20,1000,1,0.75,97,89,55,35,0,0,,
1355,4,4,20,1000,1,1,97,89,50,32,0,0,,
1355,4,4,20,5000,1,0.5,100,91,85,53,10,6,,
1355,4,4,20,5000,1,0.75,100,91,35,22,0,0,,
1355,4,4,20,5000,1,1,100,91,35,22,0,0,,
1355,4,4,20,15000,1,0.5,100,91,85,52,10,5,,
1355,4,4,20,15000,1,0.75,100,91,40,24,0,0,,
1355,4,4,20,15000,1,1,100,91,30,18,0,0,,
1356,4,4,20,1000,1,0.5,100,90,85,54,40,21,,
1356,4,4,20,1000,1,0.75,97,88,50,34,0,0,,
1356,4,4,20,1000,1,1,95,86,45,31,0,0,,
1356,4,4,20,5000,1,0.5,100,90,95,61,20,10,,
1356,4,4,20,5000,1,0.75,97,88,55,37,0,0,,
1356,4,4,20,5000,1,1,95,87,55,37,0,0,,
1356,4,4,20,15000,1,0.5,100,90,95,63,60,24,,
1356,4,4,20,15000,1,0.75,97,88,60,41,0,0,,
1356,4,4,20,15000,1,1,95,87,55,38,0,0,,
1357,4,4,20,1000,1,0.5,100,90,75,46,0,0,,
1357,4,4,20,1000,1,0.75,90,81,20,13,0,0,,
1357,4,4,20,1000,1,1,85,78,20,13,0,0,,
1357,4,4,20,5000,1,0.5,100,90,75,45,10,5,,
1357,4,4,20,5000,1,0.75,95,86,20,12,0,0,,
1357,4,4,20,5000,1,1,90,83,20,12,0,0,,
1357,4,4,20,15000,1,0.5,100,90,65,39,10,4,,
1357,4,4,20,15000,1,0.75,95,86,15,9,0,0,,
1357,4,4,20,15000,1,1,90,83,15,9,0,0,,
1358,4,4,20,1000,1,0.5,97,89,90,55,10,5,,
1358,4,4,20,1000,1,0.75,95,87,45,30,0,0,,
1358,4,4,20,1000,1,1,95,87,45,30,0,0,,
1358,4,4,20,5000,1,0.5,100,91,85,55,20,10,,
1358,4,4,20,5000,1,0.75,100,91,45,30,0,0,,
1358,4,4,20,5000,1,1,100,91,45,30,0,0,,
1358,4,4,20,15000,1,0.5,100,91,85,53,30,15,,
1358,4,4,20,15000,1,0.75,97,89,35,23,0,0,,
1358,4,4,20,15000,1,1,95,87,35,23,0,0,,
1359,4,4,20,1000,1,0.5,97,88,90,57,20,10,,
1359,4,4,20,1000,1,0.75,95,86,35,24,0,0,,
1359,4,4,20,1000,1,1,95,86,35,24,0,0,,
1359,4,4,20,5000,1,0.5,100,90,85,57,10,4,,
1359,4,4,20,5000,1,0.75,97,88,60,43,0,0,,
1359,4,4,20,5000,1,1,95,87,60,43,0,0,,
1359,4,4,20,15000,1,0.5,100,90,95,62,40,19,,
1359,4,4,20,15000,1,0.75,97,88,45,31,0,0,,
1359,4,4,20,15000,1,1,95,87,45,31,0,0,,
1360,4,4,20,1000,1,0.5,97,88,90,55,20,11,,
1360,4,4,20,1000,1,0.75,90,81,20,13,0,0,,
1360,4,4,20,1000,1,1,85,78,20,13,0,0,,
1360,4,4,20,5000,1,0.5,100,90,85,53,0,0,,
1360,4,4,20,5000,1,0.75,97,88,35,23,0,0,,
1360,4,4,20,5000,1,1,95,87,35,23,0,0,,
1360,4,4,20,15000,1,0.5,100,90,85,54,20,8,,
1360,4,4,20,15000,1,0.75,97,88,35,23,0,0,,
1360,4,4,20,15000,1,1,95,87,35,23,0,0,,
1361,4,4,20,1000,1,0.5,100,90,85,52,10,4,,
1361,4,4,20,1000,1,0.75,97,88,30,19,0,0,,
1361,4,4,20,1000,1,1,95,86,25,15,0,0,,
1361,4,4,20,5000,1,0.5,100,90,70,45,10,4,,
1361,4,4,20,5000,1,0.75,97,88,30,19,0,0,,
1361,4,4,20,5000,1,1,95,86,25,16,0,0,,
1361,4,4,20,15000,1,0.5,100,90,75,47,20,7,,
1361,4,4,20,15000,1,0.75,97,88,15,10,0,0,,
1361,4,4,20,15000,1,1,95,86,10,7,0,0,,
1362,4,4,20,1000,1,0.5,100,91,90,56,10,5,,
1362,4,4,20,1000,1,0.75,97,89,35,24,0,0,,
1362,4,4,20,1000,1,1,95,87,35,24,0,0,,
1362,4,4,20,5000,1,0.5,100,91,75,46,10,5,,
1362,4,4,20,5000,1,0.75,97,89,10,7,0,0,,
1362,4,4,20,5000,1,1,95,87,10,7,0,0,,
1362,4,4,20,15000,1,0.5,100,91,85,50,0,0,,
1362,4,4,20,15000,1,0.75,97,89,0,0,0,0,,
1362,4,4,20,15000,1,1,95,87,0,0,0,0,,
1363,4,4,20,1000,1,0.5,100,91,95,59,20,7,,
1363,4,4,20,1000,1,0.75,100,91,35,23,0,0,,
1363,4,4,20,1000,1,1,100,91,35,23,0,0,,
1363,4,4,20,5000,1,0.5,100,91,80,53,30,14,,
1363,4,4,20,5000,1,0.75,100,91,55,37,0,0,,
1363,4,4,20,5000,1,1,100,91,50,34,0,0,,
1363,4,4,20,15000,1,0.5,100,91,90,58,30,12,,
1363,4,4,20,15000,1,0.75,100,91,40,28,0,0,,
1363,4,4,20,15000,1,1,100,91,35,25,0,0,,
1364,4,4,20,1000,1,0.5,95,87,75,45,0,0,,
1364,4,4,20,1000,1,0.75,95,87,20,13,0,0,,
1364,4,4,20,1000,1,1,95,87,20,13,0,0,,
1364,4,4,20,5000,1,0.5,95,87,55,33,10,4,,
1364,4,4,20,5000,1,0.75,95,87,15,10,0,0,,
1364,4,4,20,5000,1,1,95,87,15,10,0,0,,
1364,4,4,20,15000,1,0.5,95,87,60,35,10,4,,
1364,4,4,20,15000,1,0.75,95,87,15,10,0,0,,
1364,4,4,20,15000,1,1,95,87,15,10,0,0,,
1365,4,4,20,1000,1,0.5,95,86,70,43,10,5,,
1365,4,4,20,1000,1,0.75,90,82,25,17,0,0,,
1365,4,4,20,1000,1,1,90,82,20,14,0,0,,
1365,4,4,20,5000,1,0.5,100,90,90,57,20,7,,
1365,4,4,20,5000,1,0.75,100,90,25,17,0,0,,
1365,4,4,20,5000,1,1,100,90,25,17,0,0,,
1365,4,4,20,15000,1,0.5,100,90,90,57,20,7,,
1365,4,4,20,15000,1,0.75,100,90,15,10,0,0,,
1365,4,4,20,15000,1,1,100,90,15,10,0,0,,
1366,4,4,20,1000,1,0.5,100,92,100,60,20,9,,
1366,4,4,20,1000,1,0.75,100,92,25,16,0,0,,
1366,4,4,20,1000,1,1,100,92,25,16,0,0,,
1366,4,4,20,5000,1,0.5,100,92,80,51,10,4,,
1366,4,4,20,5000,1,0.75,100,92,25,17,0,0,,
1366,4,4,20,5000,1,1,100,92,25,17,0,0,,
1366,4,4,20,15000,1,0.5,100,92,80,49,20,8,,
1366,4,4,20,15000,1,0.75,100,92,20,13,0,0,,
1366,4,4,20,15000,1,1,100,92,20,13,0,0,,
1367,4,4,20,1000,1,0.5,100,91,95,59,10,4,,
1367,4,4,20,1000,1,0.75,100,91,35,23,0,0,,
1367,4,4,20,1000,1,1,100,91,35,23,0,0,,
1367,4,4,20,5000,1,0.5,100,91,70,44,10,4,,
1367,4,4,20,5000,1,0.75,100,91,40,27,0,0,,
1367,4,4,20,5000,1,1,100,91,40,27,0,0,,
1367,4,4,20,15000,1,0.5,100,91,80,48,10,4,,
1367,4,4,20,15000,1,0.75,100,91,20,13,0,0,,
1367,4,4,20,15000,1,1,100,91,15,10,0,0,,
1368,4,4,20,1000,1,0.5,97,89,65,39,0,0,,
1368,4,4,20,1000,1,0.75,92,85,20,12,0,0,,
1368,4,4,20,1000,1,1,90,83,20,12,0,0,,
1368,4,4,20,5000,1,0.5,100,91,90,55,30,13,,
1368,4,4,20,5000,1,0.75,100,91,45,30,0,0,,
1368,4,4,20,5000,1,1,100,91,45,30,0,0,,
1368,4,4,20,15000,1,0.5,100,91,95,56,30,13,,
1368,4,4,20,15000,1,0.75,97,89,25,16,0,0,,
1368,4,4,20,15000,1,1,95,87,25,16,0,0,,
1369,4,4,20,1000,1,0.5,100,91,90,57,40,21,,
1369,4,4,20,1000,1,0.75,100,91,45,31,0,0,,
1369,4,4,20,1000,1,1,100,91,45,31,0,0,,
1369,4,4,20,5000,1,0.5,100,91,85,56,40,19,,
1369,4,4,20,5000,1,0.75,100,91,50,34,0,0,,
1369,4,4,20,5000,1,1,100,91,50,34,0,0,,
1369,4,4,20,15000,1,0.5,100,91,85,55,20,9,,
1369,4,4,20,15000,1,0.75,100,91,45,31,0,0,,
1369,4,4,20,15000,1,1,100,91,45,31,0,0,,
1370,4,4,20,1000,1,0.5,100,91,80,50,20,9,,
1370,4,4,20,1000,1,0.75,100,91,45,30,0,0,,
1370,4,4,20,1000,1,1,100,91,45,30,0,0,,
1370,4,4,20,5000,1,0.5,100,91,80,49,10,4,,
1370,4,4,20,5000,1,0.75,100,91,30,19,0,0,,
1370,4,4,20,5000,1,1,100,91,30,19,0,0,,
1370,4,4,20,15000,1,0.5,100,91,75,47,20,9,,
1370,4,4,20,15000,1,0.75,100,91,30,20,0,0,,
1370,4,4,20,15000,1,1,100,91,25,17,0,0,,
1371,4,4,20,1000,1,0.5,100,91,85,56,20,7,,
1371,4,4,20,1000,1,0.75,100,91,55,38,0,0,,
1371,4,4,20,1000,1,1,100,91,55,38,0,0,,
1371,4,4,20,5000,1,0.5,100,91,95,61,30,12,,
1371,4,4,20,5000,1,0.75,100,91,55,37,0,0,,
1371,4,4,20,5000,1,1,100,91,55,37,0,0,,
1371,4,4,20,15000,1,0.5,100,91,85,54,0,0,,
1371,4,4,20,15000,1,0.75,100,91,35,25,0,0,,
1371,4,4,20,15000,1,1,100,91,35,25,0,0,,
1372,4,4,20,1000,1,0.5,100,92,95,60,30,14,,
1372,4,4,20,1000,1,0.75,100,92,45,31,0,0,,
1372,4,4,20,1000,1,1,100,92,45,31,0,0,,
1372,4,4,20,5000,1,0.5,100,92,95,62,20,9,,
1372,4,4,20,5000,1,0.75,100,92,70,48,0,0,,
1372,4,4,20,5000,1,1,100,92,70,48,0,0,,
1372,4,4,20,15000,1,0.5,100,91,90,57,20,8,,
1372,4,4,20,15000,1,0.75,100,91,45,32,0,0,,
1372,4,4,20,15000,1,1,100,91,45,32,0,0,,
1373,4,4,20,1000,1,0.5,95,87,85,53,10,4,,
1373,4,4,20,1000,1,0.75,95,87,30,19,0,0,,
1373,4,4,20,1000,1,1,95,87,30,19,0,0,,
1373,4,4,20,5000,1,0.5,95,87,80,49,20,7,,
1373,4,4,20,5000,1,0.75,95,87,35,23,0,0,,
1373,4,4,20,5000,1,1,95,87,35,23,0,0,,
1373,4,4,20,15000,1,0.5,95,87,85,55,10,5,,
1373,4,4,20,15000,1,0.75,95,87,45,30,0,0,,
1373,4,4,20,15000,1,1,95,87,45,30,0,0,,
1374,4,4,20,1000,1,0.5,100,92,85,52,0,0,,
1374,4,4,20,1000,1,0.75,100,92,25,17,0,0,,
1374,4,4,20,1000,1,1,100,92,25,17,0,0,,
1374,4,4,20,5000,1,0.5,100,92,70,42,10,3,,
1374,4,4,20,5000,1,0.75,100,92,10,6,0,0,,
1374,4,4,20,5000,1,1,100,92,10,6,0,0,,
1374,4,4,20,15000,1,0.5,100,92,75,47,20,8,,
1374,4,4,20,15000,1,0.75,100,92,30,20,0,0,,
1374,4,4,20,15000,1,1,100,92,30,20,0,0,,
1375,4,4,20,1000,1,0.5,95,86,80,50,20,8,,
1375,4,4,20,1000,1,0.75,87,80,20,13,0,0,,
1375,4,4,20,1000,1,1,85,78,20,13,0,0,,
1375,4,4,20,5000,1,0.5,95,86,80,52,10,4,,
1375,4,4,20,5000,1,0.75,90,81,25,17,0,0,,
1375,4,4,20,5000,1,1,87,80,25,17,0,0,,
1375,4,4,20,15000,1,0.5,95,86,75,48,10,3,,
1375,4,4,20,15000,1,0.75,95,86,20,13,0,0,,
1375,4,4,20,15000,1,1,95,86,20,13,0,0,,
1376,4,4,20,1000,0,0.5,73,66,41,29,0,0,,
1376,4,4,20,1000,0,0.75,68,62,17,13,0,0,,
1376,4,4,20,1000,0,1,63,58,0,0,0,0,,
1376,4,4,20,5000,0,0.5,73,66,35,23,10,3,,
1376,4,4,20,5000,0,0.75,68,62,11,7,0,0,,
1376,4,4,20,5000,0,1,65,61,0,0,0,0,,
1376,4,4,20,15000,0,0.5,73,66,52,35,0,0,,
1376,4,4,20,15000,0,0.75,68,63,17,12,0,0,,
1376,4,4,20,15000,0,1,65,61,0,0,0,0,,
1377,4,4,20,1000,0,0.5,93,82,60,37,0,0,,
1377,4,4,20,1000,0,0.75,93,82,13,8,0,0,,
1377,4,4,20,1000,0,1,86,77,13,8,0,0,,
1377,4,4,20,5000,0,0.5,93,82,53,35,0,0,,
1377,4,4,20,5000,0,0.75,93,82,6,4,0,0,,
1377,4,4,20,5000,0,1,80,72,6,4,0,0,,
1377,4,4,20,15000,0,0.5,93,82,40,25,0,0,,
1377,4,4,20,15000,0,0.75,90,79,6,4,0,0,,
1377,4,4,20,15000,0,1,80,72,0,0,0,0,,
1378,4,4,20,1000,0,0.5,73,66,45,29,11,4,,
1378,4,4,20,1000,0,0.75,73,66,0,0,0,0,,
1378,4,4,20,1000,0,1,70,64,0,0,0,0,,
1378,4,4,20,5000,0,0.5,73,66,30,20,0,0,,
1378,4,4,20,5000,0,0.75,70,64,5,3,0,0,,
1378,4,4,20,5000,0,1,70,64,0,0,0,0,,
1378,4,4,20,15000,0,0.5,73,66,45,29,22,8,,
1378,4,4,20,15000,0,0.75,73,66,5,3,0,0,,
1378,4,4,20,15000,0,1,73,66,0,0,0,0,,
1379,4,4,20,1000,0,0.5,76,70,46,29,0,0,,
1379,4,4,20,1000,0,0.75,76,70,20,13,0,0,,
1379,4,4,20,1000,0,1,74,68,20,13,0,0,,
1379,4,4,20,5000,0,0.5,76,70,40,26,0,0,,
1379,4,4,20,5000,0,0.75,76,70,20,14,0,0,,
1379,4,4,20,5000,0,1,74,68,13,9,0,0,,
1379,4,4,20,15000,0,0.5,76,70,40,24,11,5,,
1379,4,4,20,15000,0,0.75,76,70,13,7,0,0,,
1379,4,4,20,15000,0,1,74,68,6,3,0,0,,
1380,4,4,20,1000,0,0.5,79,71,46,31,0,0,,
1380,4,4,20,1000,0,0.75,75,68,26,17,0,0,,
1380,4,4,20,1000,0,1,75,68,20,13,0,0,,
1380,4,4,20,5000,0,0.5,79,71,26,18,0,0,,
1380,4,4,20,5000,0,0.75,75,68,13,8,0,0,,
1380,4,4,20,5000,0,1,75,68,6,4,0,0,,
1380,4,4,20,15000,0,0.5,79,71,40,27,0,0,,
1380,4,4,20,15000,0,0.75,75,68,26,17,0,0,,
1380,4,4,20,15000,0,1,75,68,20,13,0,0,,
1381,4,4,20,1000,0,0.5,79,72,45,29,10,4,,
1381,4,4,20,1000,0,0.75,71,66,16,10,0,0,,
1381,4,4,20,1000,0,1,69,64,8,4,0,0,,
1381,4,4,20,5000,0,0.5,81,74,58,36,10,3,,
1381,4,4,20,5000,0,0.75,77,71,16,10,0,0,,
1381,4,4,20,5000,0,1,75,70,12,7,0,0,,
1381,4,4,20,15000,0,0.5,79,73,45,29,0,0,,
1381,4,4,20,15000,0,0.75,77,71,16,10,0,0,,
1381,4,4,20,15000,0,1,75,70,8,4,0,0,,
1382,4,4,20,1000,0,0.5,75,67,33,25,0,0,,
1382,4,4,20,1000,0,0.75,67,62,19,14,0,0,,
1382,4,4,20,1000,0,1,65,60,14,10,0,0,,
1382,4,4,20,5000,0,0.5,75,67,38,26,10,4,,
1382,4,4,20,5000,0,0.75,67,62,28,20,0,0,,
1382,4,4,20,5000,0,1,65,60,19,12,0,0,,
1382,4,4,20,15000,0,0.5,70,64,47,33,20,6,,
1382,4,4,20,15000,0,0.75,70,64,33,22,0,0,,
1382,4,4,20,15000,0,1,67,62,23,15,0,0,,
1383,4,4,20,1000,0,0.5,67,62,33,22,20,6,,
1383,4,4,20,1000,0,0.75,64,60,6,3,0,0,,
1383,4,4,20,1000,0,1,64,60,6,3,0,0,,
1383,4,4,20,5000,0,0.5,74,68,26,17,0,0,,
1383,4,4,20,5000,0,0.75,74,68,0,0,0,0,,
1383,4,4,20,5000,0,1,74,68,0,0,0,0,,
1383,4,4,20,15000,0,0.5,74,68,40,25,10,2,,
1383,4,4,20,15000,0,0.75,74,68,6,3,0,0,,
1383,4,4,20,15000,0,1,74,68,6,3,0,0,,
1384,4,4,20,1000,0,0.5,80,71,31,18,0,0,,
1384,4,4,20,1000,0,0.75,71,64,6,4,0,0,,
1384,4,4,20,1000,0,1,68,62,6,4,0,0,,
1384,4,4,20,5000,0,0.5,77,69,18,12,0,0,,
1384,4,4,20,5000,0,0.75,71,65,0,0,0,0,,
1384,4,4,20,5000,0,1,68,63,0,0,0,0,,
1384,4,4,20,15000,0,0.5,77,69,37,26,0,0,,
1384,4,4,20,15000,0,0.75,71,65,6,4,0,0,,
1384,4,4,20,15000,0,1,68,63,6,4,0,0,,
1385,4,4,20,1000,0,0.5,75,68,27,18,10,4,,
1385,4,4,20,1000,0,0.75,72,66,11,7,0,0,,
1385,4,4,20,1000,0,1,72,66,11,7,0,0,,
1385,4,4,20,5000,0,0.5,81,73,38,25,10,5,,
1385,4,4,20,5000,0,0.75,72,67,11,7,0,0,,
1385,4,4,20,5000,0,1,72,67,5,2,0,0,,
1385,4,4,20,15000,0,0.5,81,73,38,26,10,4,,
1385,4,4,20,15000,0,0.75,72,67,16,11,0,0,,
1385,4,4,20,15000,0,1,72,67,5,2,0,0,,
1386,4,4,20,1000,0,0.5,69,62,44,27,0,0,,
1386,4,4,20,1000,0,0.75,69,62,11,7,0,0,,
1386,4,4,20,1000,0,1,64,59,11,7,0,0,,
1386,4,4,20,5000,0,0.5,69,63,27,17,0,0,,
1386,4,4,20,5000,0,0.75,69,63,5,3,0,0,,
1386,4,4,20,5000,0,1,64,59,5,3,0,0,,
1386,4,4,20,15000,0,0.5,69,63,50,32,0,0,,
1386,4,4,20,15000,0,0.75,69,63,5,4,0,0,,
1386,4,4,20,15000,0,1,66,61,5,4,0,0,,
1387,4,4,20,1000,0,0.5,80,72,55,36,10,2,,
1387,4,4,20,1000,0,0.75,77,70,16,12,0,0,,
1387,4,4,20,1000,0,1,75,68,5,4,0,0,,
1387,4,4,20,5000,0,0.5,77,70,38,26,0,0,,
1387,4,4,20,5000,0,0.75,77,70,5,4,0,0,,
1387,4,4,20,5000,0,1,77,70,5,4,0,0,,
1387,4,4,20,15000,0,0.5,77,70,44,29,10,2,,
1387,4,4,20,15000,0,0.75,77,70,16,12,0,0,,
1387,4,4,20,15000,0,1,77,70,11,8,0,0,,
1388,4,4,20,1000,0,0.5,68,61,27,17,0,0,,
1388,4,4,20,1000,0,0.75,66,59,9,5,0,0,,
1388,4,4,20,1000,0,1,57,52,4,2,0,0,,
1388,4,4,20,5000,0,0.5,66,59,40,27,0,0,,
1388,4,4,20,5000,0,0.75,64,58,13,7,0,0,,
1388,4,4,20,5000,0,1,57,53,9,5,0,0,,
1388,4,4,20,15000,0,0.5,66,60,31,19,0,0,,
1388,4,4,20,15000,0,0.75,66,60,13,7,0,0,,
